Parameter,Tests#,Patterns,Unit,HighL,LowL,mean_site3_devm_No1_loop5.stdf.gextb.csv,mean_site3_devm_No2_loop5.stdf.gextb.csv,mean_site3_devm_No3_loop5.stdf.gextb.csv,mean_site3_devm_No4_loop5.stdf.gextb.csv,mean_site3_devm_No5_loop5.stdf.gextb.csv
Main.LPOSC.LPOSC_CALI.p[LPOSC_CALI:Trim_Freq].td,32010,,MHz,418,414,415.79200000000003,415.948,415.84400000000005,415.948,416.052
Main.DCXO_1st.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_Min_Accuracy].td,33004,,,,,26000130.0,26000088.0,26000200.0,26000116.0,26000116.0
Main.DCXO_1st.DCXO_LPM_26M.p[DCXO_LPM_26M:LPM_26M_Accuracy].td,33100,,MHz,26.0052,25.9979,26.000236,26.0002,26.000272000000002,26.000212000000005,26.000224000000003
Main.DCXO_1st.DCXO_LPM_26M.p[DCXO_LPM_26M:LPM_Current].td,33101,,uA,180,50,93.65975800000001,99.159216,87.08462,99.182692,95.188058
Main.DCXO_1st.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_Max_Accuracy].td,33200,,,,,25998788.0,25998788.0,25998830.0,25998802.0,25998802.0
Main.DCXO_1st.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_Max_Current].td,33201,,uA,1000,250,395.46862,410.49722,370.53974,410.60893999999996,403.60912
Main.DCXO_1st.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_Min_Current].td,33202,,uA,600,100,205.51382000000004,212.54124000000002,193.98964,210.69236,211.72092000000004
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Norm_Curr].td,33203,,uHz,25,0,1339000000.0,1300000000.0,1365000000.0,1313000000.0,1313000000.0
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Norm_Freq].td,33204,,KHz,,,27.463826,27.259386,28.15681,26.677614,27.689029999999995
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Norm_Duty].td,33205,,,70,30,50.32735,50.325019999999995,49.92422800000001,50.51292600000001,49.808378
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Max_Curr].td,33206,,uA,25,0,12.525358,12.706942,12.255064,11.802069999999997,12.544564
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Max_Freq].td,33207,,KHz,1300,40,84.115212,84.115298,84.224222,83.120254,85.32997600000002
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Max_Duty].td,33208,,,70,30,50.16181,50.226535999999996,49.902913999999996,50.47923,49.83607
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Min_Curr].td,33209,,uA,25,0,12.31949,12.557744,12.608826000000002,12.48296,13.108132000000001
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Min_Freq].td,33210,,KHz,30,8,18.88711,18.748194,19.392858,18.34215,19.042036
Main.RTC.RTC_A01_OSC_CLK.p[EOSC_Freq_Min_Duty].td,33211,,,70,30,50.334218,50.353394,49.962716,50.585414,49.787600000000005
Main.RTC.RTC_A01_OSC_CLK.p[DCXO_Curr].td,33212,,uA,25,0,12.459628,12.870507999999997,11.904908,12.309802000000001,13.021773999999999
Main.RTC.RTC_A01_OSC_CLK.p[DCXO_Freq].td,33213,,KHz,33.25952,32.27648,32.76622,32.76622,32.76622,32.76622,32.76622
Main.RTC.RTC_A01_OSC_CLK.p[DCXO_Duty].td,33214,,,70,30,50.176422,50.176454,50.088242,50.214284,50.126074
Main.RTC.RTC_A02_RTC_LDO.p[AVDD18_RTC].td,33215,,V,1.98,1.68,1.900235,1.9001318,1.9002690000000002,1.9002004,1.9003492000000002
Main.RTC.RTC_A02_RTC_LDO.p[FPM_AVDD09_CPT].td,33216,,mV,1089,820,903.2360000000001,922.5946799999999,926.37248,882.80124,907.73508
Main.RTC.RTC_A02_RTC_LDO.p[FPM_AVDD08_RTC].td,33217,,mV,990,693,838.86366,859.4586800000001,857.5812,817.31842,840.5350599999999
Main.RTC.RTC_A02_RTC_LDO.p[RTC_LDO_FPM].td,33218,,uA,45,12,16.46988,16.817636,16.607438,16.352116,16.774982
Main.RTC.RTC_A02_RTC_LDO.p[LPM_AVDD09_CPT].td,33219,,mV,1089,820,893.8485800000001,924.7583200000001,929.4977999999999,879.4126200000001,905.94918
Main.RTC.RTC_A02_RTC_LDO.p[LPM_AVDD08_RTC].td,33220,,mV,990,693,847.4381800000001,882.33186,878.1190200000001,829.25872,855.61212
Main.RTC.RTC_A02_RTC_LDO.p[RTC_LDO_LPM].td,33221,,uA,25,1.5,4.3103704,4.8230516,4.3376464,4.2638392000000005,4.333059799999999
Main.RTC.RTC_A02_RTC_LDO.p[RTC_MODE_DDIE].td,33222,,uA,27,2.5,4.2631406,4.9804686,4.151242400000001,4.235143,4.5129562
Main.RTC.RTC_A02_RTC_LDO_TRIM.p[M_DIG_CFG_RTC].td,33223,,code,,,1.0,0.0,0.0,2.0,1.0
Main.RTC.RTC_A02_RTC_LDO_TRIM.p[AVDD08_RTC_S0].td,33224,,mV,1000,600,837.27238,858.56574,856.21888,816.75742,838.88652
Main.RTC.RTC_A02_RTC_LDO_TRIM.p[AVDD08_RTC_CHK].td,33225,,mV,990,850,855.76092,858.56574,856.21888,853.7461,857.3179
Main.RTC.RTC_A03_RTC_GPIO.p[RTC_A03_GPIO_ReadExp9].td,33226,,code,9,9,9.0,9.0,9.0,9.0,9.0
Main.RTC.RTC_A03_RTC_GPIO.p[RTC_A03_GPIO_ReadExp4].td,33227,,code,4,4,4.0,4.0,4.0,4.0,4.0
Main.RTC.RTC_A03_RTC_GPIO.p[RTC_A03_GPIO_OUT3_0].td,33228,,V,1.9,1.7,1.7999270000000003,1.8000070000000001,1.7999958,1.8000301999999997,1.7999958
Main.RTC.RTC_A03_RTC_GPIO.p[RTC_A03_GPIO_OUT3_1].td,33229,,V,1.9,1.7,1.7996724,1.7997526000000001,1.7996954000000003,1.7995349999999999,1.7996494000000003
Main.RTC.RTC_A03_RTC_GPIO.p[RTC_A03_GPIO_OUT3_2].td,33230,,mV,500,-500,-0.0835412316,-0.0263000748,-0.060644871600000004,-0.0491965632,-0.049196564
Main.RTC.RTC_A03_RTC_GPIO.p[RTC_A03_GPIO_OUT4_0].td,33231,,mV,500,-500,634.50806,632.2418799999999,638.3079399999999,636.7857,636.38516
Main.RTC.RTC_A03_RTC_GPIO.p[RTC_A03_GPIO_OUT4_1].td,33232,,mCode,500,-500,0.0,0.0,0.0,0.0,0.0
Main.RTC.RTC_A03_RTC_GPIO.p[RTC_A03_GPIO_OUT4_2].td,33233,,Code,1.9,1.7,1.0,1.0,1.0,1.0,1.0
Main.BC12.BC12_Test.p[PMU_3_BC12_COMP_VTH_VH_MASS_0].td,33234,,Code,0,0,0.0,0.0,0.0,0.0,0.0
Main.BC12.BC12_Test.p[PMU_3_BC12_COMP_VTH_VH_MASS_1].td,33235,,Code,1,1,1.0,1.0,1.0,1.0,1.0
Main.BC12.BC12_Test.p[PMU_4_BC12_IPU_DP_MASS].td,33236,,uA,13,7,9.314196599999999,9.213055599999999,9.0877398,8.989065199999999,9.489836799999999
Main.BC12.BC12_Test.p[PMU_5_BC12_IPU_DM_MASS].td,33237,,uA,13,7,9.271588399999999,9.1693748,9.074074200000002,8.9540842,9.440463
Main.BC12.BC12_Test.p[PMU_6_BC12_IPD_DP_MASS].td,33238,,uA,175,25,75.192816,75.212478,73.516692,74.288398,77.370306
Main.BC12.BC12_Test.p[PMU_7_BC12_IPD_DM_MASS].td,33239,,uA,175,25,97.53242600000002,97.52259000000001,95.766526,94.64009000000001,100.33624
Main.BC12.BC12_Test.p[PMU_8_BC12_RDWN_MASS_R].td,33240,,KOhm,24.8,14.3,19.623896000000002,19.849027999999997,20.010213999999998,20.284738,19.281118
Main.DCXO_1st.DCXO_Default_CAPID_ENG.p[DCXO_Default_CAPID_ENG:FPM_26M_Default_Accuracy].td,33300,,MHz,26.0052,25.9979,25.99935,25.999307999999996,25.999364000000003,25.999307999999996,25.999336
Main.DCXO_1st.DCXO_Default_CAPID_ENG.p[DCXO_Default_CAPID_ENG:FPM_26M_Ave_Default_Current].td,33301,,uA,600,100,239.15992,247.55522000000002,225.55293999999998,246.1359,245.57636000000002
Main.DCXO_2nd.DCXO_LPM_26M.p[DCXO_LPM_26M:LPM_26M_Accuracy].td,33400,,MHz,26.0052,25.9979,26.000248,26.0002,26.000272000000002,26.0002,26.000223999999996
Main.DCXO_2nd.DCXO_LPM_26M.p[DCXO_LPM_26M:LPM_Current].td,33401,,uA,180,50,93.73072599999999,99.32295200000002,86.97137000000001,99.422788,95.48515
Main.DCXO_2nd.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_Max_Accuracy].td,33500,,,,,25998760.0,25998802.0,25998830.0,25998788.0,25998816.0
Main.DCXO_2nd.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_Max_Current].td,33501,,uA,1000,250,395.59676,410.5493399999999,370.44062,410.97922,403.6665
Main.DCXO_2nd.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_Min_Current].td,33502,,uA,600,100,205.80365999999998,212.82136,194.18560000000002,211.00081999999998,211.83638000000002
Main.DCXO_2nd.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_CAPID_Delta].td,33503,,Hz,3900,780,1365.0,1261.0,1352.0,1300.0,1287.0
Main.DCXO_2nd.DCXO_CAPID_DELTA.p[DCXO_CAPID_DELTA:FPM_26M_Min_Accuracy].td,33504,,,,,26000130.0,26000060.0,26000186.0,26000088.0,26000102.0
Main.DCXO_2nd.DCXO_Default_CAPID_ENG.p[DCXO_Default_CAPID_ENG:FPM_26M_Default_Accuracy].td,33600,,MHz,26.0052,25.9979,25.999307999999996,25.999336,25.999419999999997,25.999322,25.99928
Main.DCXO_2nd.DCXO_Default_CAPID_ENG.p[DCXO_Default_CAPID_ENG:FPM_26M_Ave_Default_Current].td,33601,,uA,600,100,239.6878,248.07452000000004,225.9776,246.70214,245.96750000000003
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_0p45V].td,35101,,,48,-48,-14.2,-22.2,-23.2,-11.0,-13.2
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_0p3V].td,35102,,,-61,-109,-81.8,-80.4,-79.8,-84.0,-82.0
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_0p6V].td,35103,,,110,62,81.8,79.6,78.6,84.0,82.2
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_CH1_H].td,35104,,,,223,253.0,253.0,250.0,253.0,253.0
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_CH1_L].td,35105,,,-224,,-254.0,-256.0,-256.0,-256.0,-253.0
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_CH2_H].td,35106,,,,223,253.0,252.8,250.0,253.0,253.0
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_CH2_L].td,35107,,,-224,,-254.0,-256.0,-256.0,-256.0,-253.0
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_CH3_H].td,35108,,,,223,253.0,252.6,250.0,253.0,253.0
Main.Flow_CapTouch.CPT01_ADC_MEASUREMENT.p[CPT01_ADC_MEASUREMENT:ADC_CH3_L].td,35109,,,-224,,-254.8,-256.0,-256.0,-256.0,-253.0
Main.Flow_CapTouch.CPT02_LOAD_BOARD.p[CPT02_LOAD_BOARD:CAP_COARSE_CH0].td,35201,,,7,0,5.0,6.0,6.0,5.0,6.0
Main.Flow_CapTouch.CPT02_LOAD_BOARD.p[CPT02_LOAD_BOARD:CAP_ReadCode_CH0].td,35205,,Code,64,-64,3.8,8.6,28.0,5.2,17.0
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO1_c].td,39006,,,0.71,0.69,0.69944762,0.6984792200000001,0.69847696,0.6984119200000001,0.69889512
Main.AUXADC.A00_AuxADC_Calibration_AGPIO.p[A00_AuxADC_Calibration_AGPIO:AGPIO0_c].td,39009,,,0.71,0.69,0.69820414,0.69903154,0.69861522,0.6984117000000001,0.6987574200000001
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.BGR_S0,52000,,V,,,1.2186074,1.2003906,1.2343406000000001,1.2069390000000002,1.2328464000000001
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.RG_BGR_TRIM,52001,,code,31,0,3.0,31.0,6.0,0.0,5.0
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.BGR_TRIM_CHK,52002,,V,1.2113,1.1986,1.2040492,1.2052239999999999,1.205494,1.2069177999999998,1.2086853999999998
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.BGRNOC_S0,52003,,V,,,0.36638107999999997,0.36570090000000005,0.36533928000000004,0.36900560000000004,0.36786382
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.RG_BGRNOC_TRIM,52004,,code,31,0,13.8,18.0,17.6,6.8,18.2
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.BGRNOC_TRIM_CHK,52005,,V,1.2113,1.1873,0.36859626,0.47378618,0.4783962199999999,0.37044412000000004,0.43556516
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.IVGENNOC_S0,52006,,uA,,,0.9372498200000001,0.9347206399999999,0.9238106600000002,0.90967728,0.91989298
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.RG_IVGENNOC_TRIM,52007,,code,31,0,2.6,3.0,3.0,4.0,3.0
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.IVGENNOC_TRIM_CHK,52008,,uA,1.05,0.95,1.01238,0.9839645000000001,0.9985938400000001,1.0079666,0.99477528
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.IVGEN_S0,52009,,uA,,,0.96834334,0.9773193000000001,0.9631859200000001,0.95540012,0.93333212
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.RG_IVGEN_TRIM,52010,,code,63,0,2.0,1.6,2.0,3.0,5.0
Main.PmicTest.PmicSub1.PMU_VREF_BGR_TRIM.IVGEN_TRIM_CHK,52011,,uA,1.05,0.95,1.0134215999999998,1.008413,1.0082642,0.9996847799999999,1.0054865999999998
Main.XD_Current.PMU_STRUP_XD_Current.STRUP_XD_Current_3p2V,55100,,uA,55,1,13.727529999999998,11.576526,11.782136,12.604580000000002,13.616818
Main.Thermal.ThermalSensor.Outside_Thermal,55300,,C,31.25,17,27.525,27.5625,27.5875,27.6625,27.575
Main.Thermal.ThermalSensor.Inside_Thermal,55301,,C,31.25,17,27.4625,27.525,27.575,27.5875,27.4875
Main.Thermal.ThermalSensor.Thermal_Delta,55302,,C,4,-4,-0.0625,-0.0375,-0.0125,-0.075,-0.0875
Main.Thermal.ThermalSensor.AUXADC_EFUSE_DEGC_CALI,55303,,C,63,30,55.0,55.0,55.0,55.0,55.0
Main.Defuse_Blank_Check.EFUSE_HRID_Read_Reverse_Random_CP.testName[EFUSE_ECID1_48_63].judger,60920,,,,0,57969.0,52599.0,52883.0,47400.0,9119.0
Main.Defuse_Blank_Check.EFUSE_HRID_Read_Reverse_Random_CP.testName[EFUSE_ECID1_32_47].judger,60921,,,,0,60250.0,32552.0,12889.0,41093.0,39519.0
Main.Defuse_Blank_Check.EFUSE_HRID_Read_Reverse_Random_CP.testName[EFUSE_ECID1_16_31].judger,60922,,,,0,50958.0,12144.0,43788.0,27157.0,56722.0
Main.Defuse_Blank_Check.EFUSE_HRID_Read_Reverse_Random_CP.testName[EFUSE_ECID1_0_15].judger,60923,,,,0,16841.0,38399.0,13033.0,7233.0,2750.0
Defuse_Blank_Check,60925,dsa_gen.Main.Defuse_Blank_Check.Ddie_Blank_Check.OpSeq_1,,,,0.0,0.0,0.0,0.0,0.0
Main.Defuse_Blank_Check.EFUSE_HRID_Read_Reverse_Random_CP.testName[EFUSE_ECID1_Lot_ID_check].judger,60926,,,,,0.0,0.0,0.0,0.0,0.0
Main.Defuse_Blank_Check.EFUSE_HRID_Read_Reverse_Random_CP.testName[EFUSE_ECID1_Wafer_ID].judger,60927,,,26,0,17.0,17.0,25.0,17.0,17.0
Main.Defuse_Blank_Check.EFUSE_HRID_Read_Reverse_Random_CP.testName[EFUSE_ECID1_X_axis].judger,60928,,,,,9.0,12.0,76.0,25.0,11.0
Main.Defuse_Blank_Check.EFUSE_HRID_Read_Reverse_Random_CP.testName[EFUSE_ECID1_Y_axis].judger,60929,,,,,56.0,41.0,56.0,30.0,31.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_I2C_DAT_OC,61000,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_I2C_CLK_IC,61001,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_I2C_DAT_IC,61002,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.I2C_CONFIG,61003,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_SYSRSTB_EN,61004,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_AO_EFUSE_RSV,61005,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_STRUP_AUXADC_RPCNT_MAX,61006,,code,28,28,28.0,28.0,28.0,28.0,28.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_STRUP_IREF_TRIM,61007,,code,63,0,3.0,2.0,3.0,3.0,5.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BGR_TRIM,61008,,code,31,0,3.0,31.0,6.0,0.0,5.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BGRNOC_TRIM,61009,,code,31,0,5.0,9.0,12.0,12.0,4.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_IVGENNOC_TRIM,61010,,code,31,0,3.0,2.0,3.0,4.0,3.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_UVLO_VTHH,61011,,code,7,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VIO18_VSLEEP_TRIM,61012,,code,31,0,19.0,22.0,23.0,28.0,18.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VRF11_VSLEEP_TRIM,61013,,code,31,0,18.0,19.0,20.0,23.0,15.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VCORE_VSLEEP_V10_TRIM,61014,,code,31,0,14.0,0.0,17.0,14.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VCORE_VSLEEP_V08_TRIM,61015,,code,31,0,14.0,0.0,17.0,15.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VCORE_VSLEEP_V07_TRIM,61016,,code,31,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VAUD18_VSLEEP_V09_TRIM,61017,,code,31,0,13.0,13.0,16.0,15.0,15.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EOSC_STP_CALI,61018,,code,3,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_DINV_ENB,61019,,code,1,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_CHR_LPSD_DIS_VA18,61020,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_CHR_THERMAL_DIS_VA18,61021,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_CHR_VA18_EN_MODE,61022,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_CHR_AO_RSV3,61023,,code,15,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_OC_MIN_TRIM,61024,,code,15,0,4.0,5.0,4.0,4.0,5.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_OC_PEAK_TRIM,61025,,code,7,7,7.0,7.0,7.0,7.0,7.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_OC_SLOPE_TRIM,61026,,code,15,0,3.0,3.0,3.0,3.0,3.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_FON_FALL_TRIM,61027,,code,63,0,5.0,3.0,3.0,5.0,4.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_FON_RISE_TRIM,61028,,code,63,0,5.0,4.0,4.0,5.0,5.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_PREG_OC_LIM,61029,,code,1,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_PREG_VTRIM,61030,,code,31,0,21.0,21.0,21.0,21.0,21.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_PREG_TCTRIM,61031,,code,5,5,5.0,5.0,5.0,5.0,5.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_EFUSE_PPFET_FON_RSV_TRIM,61032,,code,255,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_OSC_32K_TRIM,61033,,code,31,0,11.0,10.0,11.0,11.0,10.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_LDO_AO_EFUSE_RSVED0,61034,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_LDO_AO_EFUSE_RSVED1,61035,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VDIG18_VOTRIM,61036,,code,15,0,13.0,15.0,14.0,12.0,15.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VDIG18_OC_TRIM,61037,,code,2,2,2.0,2.0,2.0,2.0,2.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VLDO33_VOTRIM,61038,,code,15,0,14.0,13.0,11.0,11.0,15.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VA18_VOTRIM,61039,,code,15,0,1.0,1.0,14.0,14.0,15.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_VCORE_VOSEL,61040,,code,64,64,64.0,64.0,64.0,64.0,64.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_VIO18_VOSEL,61041,,code,68,68,68.0,68.0,68.0,68.0,68.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_VRF_VOSEL,61042,,code,64,64,64.0,64.0,64.0,64.0,64.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_VAUD18_VOSEL,61043,,code,80,80,80.0,80.0,80.0,80.0,80.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_VCORE_OC_SDN_EN,61044,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_VIO18_OC_SDN_EN,61045,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_VRF_OC_SDN_EN,61046,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_VAUD18_OC_SDN_EN,61047,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_OC_SDN_EN_SEL,61048,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_AO_EFUSE_RSVED0,61049,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_AO_EFUSE_RSVED1,61050,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_K_CONTROL_SMPS,61051,,code,63,0,60.0,62.0,60.0,60.0,59.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_CO_EFUSE_RSVED0,61052,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_BUCK_CO_EFUSE_RSVED1,61053,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_SMPS_RSV,61054,,code,3,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VCORE_TRIMH,61055,,code,31,0,7.0,11.0,8.0,9.0,13.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VIO18_TRIMH,61056,,code,31,0,4.0,4.0,2.0,5.0,4.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VRF_TRIMH,61057,,code,31,0,1.0,3.0,2.0,3.0,3.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VAUD18_TRIMH,61058,,code,31,0,2.0,3.0,3.0,5.0,5.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VCORE_ZC_TRIM,61059,,code,3,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VCORE_CSPSLP_TRIM,61060,,code,15,0,6.0,6.0,6.0,6.0,7.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VCORE_IBIAS_TRIM,61061,,code,16,16,16.0,16.0,16.0,16.0,16.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VIO18_CSPSLP_TRIM,61062,,code,15,0,6.0,6.0,6.0,6.0,6.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VIO18_IBIAS_TRIM,61063,,code,16,16,16.0,16.0,16.0,16.0,16.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VRF_ZC_TRIM,61064,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.PmicTest.EfuseBlankCheck.EfuseA_EQC_Check.RG_VRF_CSPSLP_TRIM,61065,,code,15,0,3.0,3.0,3.0,4.0,4.0
